[Allreduce] id:0001, cur_start:1744006275.855457, cur_end:1744006278.454961, duration(s):2.599504, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.000107
[Allreduce] id:0002, cur_start:1744006278.455362, cur_end:1744006280.161421, duration(s):1.706059, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):77.120745
[Allreduce] id:0003, cur_start:1744006294.950845, cur_end:1744006294.950893, duration(s):0.000048, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.019868
[Allreduce] id:0004, cur_start:1744006306.063307, cur_end:1744006310.767830, duration(s):4.704523, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):27.967243
[Allreduce] id:0005, cur_start:1744006311.269981, cur_end:1744006311.272942, duration(s):0.002961, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000322
[Allreduce] id:0006, cur_start:1744006317.880700, cur_end:1744006318.829456, duration(s):0.948756, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):2.705055
[Allreduce] id:0007, cur_start:1744006318.829849, cur_end:1744006318.947712, duration(s):0.117863, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):85.932786
[Allreduce] id:0008, cur_start:1744006318.948102, cur_end:1744006319.268915, duration(s):0.320813, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):39.477948
[Allreduce] id:0009, cur_start:1744006319.269303, cur_end:1744006319.328771, duration(s):0.059468, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):170.388956
[Allreduce] id:0010, cur_start:1744006319.329268, cur_end:1744006319.396120, duration(s):0.066852, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):189.448918
[Allreduce] id:0011, cur_start:1744006319.396320, cur_end:1744006319.462552, duration(s):0.066232, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):152.987837
[Allreduce] id:0012, cur_start:1744006319.462807, cur_end:1744006319.569965, duration(s):0.107158, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):118.190327
[Allreduce] id:0013, cur_start:1744006319.570334, cur_end:1744006319.670849, duration(s):0.100515, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):100.807744
[Allreduce] id:0014, cur_start:1744006319.671298, cur_end:1744006319.766059, duration(s):0.094761, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):133.652442
[Allreduce] id:0015, cur_start:1744006319.766295, cur_end:1744006319.862175, duration(s):0.095880, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):105.680960
[Allreduce] id:0016, cur_start:1744006319.862428, cur_end:1744006319.978742, duration(s):0.116314, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):108.886626
[Allreduce] id:0017, cur_start:1744006319.979188, cur_end:1744006320.091386, duration(s):0.112198, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):90.310794
[Allreduce] id:0018, cur_start:1744006320.091621, cur_end:1744006320.187175, duration(s):0.095554, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):132.543264
[Allreduce] id:0019, cur_start:1744006320.187482, cur_end:1744006320.270100, duration(s):0.082618, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):122.645070
[Allreduce] id:0020, cur_start:1744006320.270456, cur_end:1744006320.384066, duration(s):0.113610, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):111.478207
[Allreduce] id:0021, cur_start:1744006320.384497, cur_end:1744006320.477031, duration(s):0.092534, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):109.502350
[Allreduce] id:0022, cur_start:1744006320.477281, cur_end:1744006320.576930, duration(s):0.099649, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):127.096499
[Allreduce] id:0023, cur_start:1744006320.577294, cur_end:1744006320.685404, duration(s):0.108110, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):93.725746
[Allreduce] id:0024, cur_start:1744006320.685666, cur_end:1744006321.032754, duration(s):0.347088, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):36.489418
