[Allreduce] id:0001, cur_start:1743940689.181621, cur_end:1743940689.438630, duration(s):0.257009, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.001080
[Allreduce] id:0002, cur_start:1743940690.179212, cur_end:1743940691.612154, duration(s):1.432942, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):91.819865
[Allreduce] id:0003, cur_start:1743940707.972759, cur_end:1743940708.015915, duration(s):0.043156, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000022
[Allreduce] id:0004, cur_start:1743940720.237865, cur_end:1743940721.795490, duration(s):1.557625, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):84.469972
[Allreduce] id:0005, cur_start:1743940722.743681, cur_end:1743940722.814071, duration(s):0.070390, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000014
[Allreduce] id:0006, cur_start:1743940730.453528, cur_end:1743940730.473988, duration(s):0.020460, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):125.436792
[Allreduce] id:0007, cur_start:1743940730.563693, cur_end:1743940730.602289, duration(s):0.038596, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):262.418279
[Allreduce] id:0008, cur_start:1743940730.663611, cur_end:1743940730.715480, duration(s):0.051869, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):244.173573
[Allreduce] id:0009, cur_start:1743940730.762977, cur_end:1743940730.822349, duration(s):0.059372, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):170.664462
[Allreduce] id:0010, cur_start:1743940730.862380, cur_end:1743940730.921698, duration(s):0.059318, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):213.510892
[Allreduce] id:0011, cur_start:1743940730.964210, cur_end:1743940731.012613, duration(s):0.048403, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):209.340132
[Allreduce] id:0012, cur_start:1743940731.064470, cur_end:1743940731.110026, duration(s):0.045556, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):278.010340
[Allreduce] id:0013, cur_start:1743940731.164923, cur_end:1743940731.250779, duration(s):0.085856, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):118.019596
[Allreduce] id:0014, cur_start:1743940731.266454, cur_end:1743940731.315047, duration(s):0.048593, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):260.635052
[Allreduce] id:0015, cur_start:1743940731.372837, cur_end:1743940731.419495, duration(s):0.046658, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):217.169412
[Allreduce] id:0016, cur_start:1743940731.470587, cur_end:1743940731.517681, duration(s):0.047094, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):268.931054
[Allreduce] id:0017, cur_start:1743940731.578969, cur_end:1743940731.623192, duration(s):0.044223, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):229.127161
[Allreduce] id:0018, cur_start:1743940731.677911, cur_end:1743940731.724291, duration(s):0.046380, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):273.071131
[Allreduce] id:0019, cur_start:1743940731.779895, cur_end:1743940731.824047, duration(s):0.044152, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):229.495616
[Allreduce] id:0020, cur_start:1743940731.885969, cur_end:1743940731.930320, duration(s):0.044351, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):285.563777
[Allreduce] id:0021, cur_start:1743940731.993091, cur_end:1743940732.037294, duration(s):0.044203, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):229.230831
[Allreduce] id:0022, cur_start:1743940732.104401, cur_end:1743940732.153202, duration(s):0.048801, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):259.524171
[Allreduce] id:0023, cur_start:1743940732.204931, cur_end:1743940732.249446, duration(s):0.044515, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):227.624181
[Allreduce] id:0024, cur_start:1743940732.310221, cur_end:1743940732.357250, duration(s):0.047029, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):269.302751
[Allreduce] id:0025, cur_start:1743940732.418082, cur_end:1743940732.461540, duration(s):0.043458, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):233.160533
