[Allreduce] id:0001, cur_start:1744031994.370846, cur_end:1744031996.171725, duration(s):1.800879, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.000308
[Allreduce] id:0002, cur_start:1744031996.172635, cur_end:1744032007.236909, duration(s):11.064274, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):23.783312
[Allreduce] id:0003, cur_start:1744032014.399812, cur_end:1744032014.402558, duration(s):0.002746, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000695
[Allreduce] id:0004, cur_start:1744032045.011932, cur_end:1744032058.475696, duration(s):13.463764, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):19.544689
[Allreduce] id:0005, cur_start:1744032058.780486, cur_end:1744032058.790537, duration(s):0.010051, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000190
[Allreduce] id:0006, cur_start:1744032074.349875, cur_end:1744032075.486668, duration(s):1.136793, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):4.515223
[Allreduce] id:0007, cur_start:1744032075.487012, cur_end:1744032075.864335, duration(s):0.377323, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):53.685017
[Allreduce] id:0008, cur_start:1744032075.864712, cur_end:1744032076.224227, duration(s):0.359515, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):70.456248
[Allreduce] id:0009, cur_start:1744032076.224518, cur_end:1744032076.486388, duration(s):0.261870, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):77.387180
[Allreduce] id:0010, cur_start:1744032076.486603, cur_end:1744032076.807430, duration(s):0.320827, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):78.952451
[Allreduce] id:0011, cur_start:1744032076.807738, cur_end:1744032077.083948, duration(s):0.276210, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):73.369468
[Allreduce] id:0012, cur_start:1744032077.084165, cur_end:1744032077.475885, duration(s):0.391720, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):64.663735
[Allreduce] id:0013, cur_start:1744032077.476288, cur_end:1744032077.811352, duration(s):0.335064, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):60.482119
[Allreduce] id:0014, cur_start:1744032077.811588, cur_end:1744032078.187408, duration(s):0.375820, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):67.399495
[Allreduce] id:0015, cur_start:1744032078.187658, cur_end:1744032078.491390, duration(s):0.303732, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):66.721257
[Allreduce] id:0016, cur_start:1744032078.491606, cur_end:1744032078.915745, duration(s):0.424139, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):59.721172
[Allreduce] id:0017, cur_start:1744032078.916003, cur_end:1744032079.164144, duration(s):0.248141, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):81.668813
[Allreduce] id:0018, cur_start:1744032079.164394, cur_end:1744032079.500341, duration(s):0.335947, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):75.399031
[Allreduce] id:0019, cur_start:1744032079.500646, cur_end:1744032079.823308, duration(s):0.322662, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):62.806841
[Allreduce] id:0020, cur_start:1744032079.823522, cur_end:1744032080.243577, duration(s):0.420055, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):60.301813
[Allreduce] id:0021, cur_start:1744032080.243868, cur_end:1744032080.579808, duration(s):0.335940, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):60.324406
[Allreduce] id:0022, cur_start:1744032080.580035, cur_end:1744032080.963382, duration(s):0.383347, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):66.076109
[Allreduce] id:0023, cur_start:1744032080.963626, cur_end:1744032081.276058, duration(s):0.312432, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):64.863333
[Allreduce] id:0024, cur_start:1744032081.276257, cur_end:1744032081.595382, duration(s):0.319125, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):79.373531
[Allreduce] id:0025, cur_start:1744032081.595633, cur_end:1744032081.907659, duration(s):0.312026, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):64.947731
[Allreduce] id:0026, cur_start:1744032081.907976, cur_end:1744032082.259435, duration(s):0.351459, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):72.071218
[Allreduce] id:0027, cur_start:1744032082.259722, cur_end:1744032082.627394, duration(s):0.367672, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):55.118097
[Allreduce] id:0028, cur_start:1744032082.627613, cur_end:1744032083.075478, duration(s):0.447865, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):56.557396
[Allreduce] id:0029, cur_start:1744032083.075740, cur_end:1744032083.439371, duration(s):0.363631, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):55.730619
[Allreduce] id:0030, cur_start:1744032083.439600, cur_end:1744032083.915466, duration(s):0.475866, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):53.229435
[Allreduce] id:0031, cur_start:1744032083.915801, cur_end:1744032084.319325, duration(s):0.403524, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):50.221005
[Allreduce] id:0032, cur_start:1744032084.319539, cur_end:1744032084.707463, duration(s):0.387924, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):65.296497
[Allreduce] id:0033, cur_start:1744032084.707714, cur_end:1744032084.991384, duration(s):0.283670, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):71.439986
[Allreduce] id:0034, cur_start:1744032084.991627, cur_end:1744032085.361959, duration(s):0.370332, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):68.398297
[Allreduce] id:0035, cur_start:1744032085.362229, cur_end:1744032085.687487, duration(s):0.325258, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):62.305557
[Allreduce] id:0036, cur_start:1744032085.687721, cur_end:1744032085.987605, duration(s):0.299884, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):84.466254
[Allreduce] id:0037, cur_start:1744032085.987924, cur_end:1744032086.387533, duration(s):0.399609, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):50.713024
[Allreduce] id:0038, cur_start:1744032086.387819, cur_end:1744032086.739428, duration(s):0.351609, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):72.040471
[Allreduce] id:0039, cur_start:1744032086.739736, cur_end:1744032087.051557, duration(s):0.311821, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):64.990430
[Allreduce] id:0040, cur_start:1744032087.051913, cur_end:1744032087.475454, duration(s):0.423541, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):59.805493
[Allreduce] id:0041, cur_start:1744032087.475783, cur_end:1744032087.911480, duration(s):0.435697, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):46.512555
[Allreduce] id:0042, cur_start:1744032087.911810, cur_end:1744032088.224216, duration(s):0.312406, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):81.080639
[Allreduce] id:0043, cur_start:1744032088.224597, cur_end:1744032088.504061, duration(s):0.279464, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):72.515175
[Allreduce] id:0044, cur_start:1744032088.504398, cur_end:1744032088.819953, duration(s):0.315555, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):80.271516
[Allreduce] id:0045, cur_start:1744032088.820302, cur_end:1744032089.139871, duration(s):0.319569, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):63.414727
[Allreduce] id:0046, cur_start:1744032089.140239, cur_end:1744032089.463528, duration(s):0.323289, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):78.351191
[Allreduce] id:0047, cur_start:1744032089.463839, cur_end:1744032089.852352, duration(s):0.388513, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):52.161397
[Allreduce] id:0048, cur_start:1744032089.852686, cur_end:1744032090.107968, duration(s):0.255282, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):99.223910
[Allreduce] id:0049, cur_start:1744032090.108278, cur_end:1744032090.375652, duration(s):0.267374, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):75.794134
[Allreduce] id:0050, cur_start:1744032090.375971, cur_end:1744032090.707657, duration(s):0.331686, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):76.367643
[Allreduce] id:0051, cur_start:1744032090.707967, cur_end:1744032090.971291, duration(s):0.263324, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):76.959870
[Allreduce] id:0052, cur_start:1744032090.971586, cur_end:1744032091.323402, duration(s):0.351816, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):71.998085
[Allreduce] id:0053, cur_start:1744032091.323691, cur_end:1744032091.651323, duration(s):0.327632, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):61.854095
