[Allreduce] id:0001, cur_start:1743940689.167102, cur_end:1743940689.514125, duration(s):0.347023, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.000800
[Allreduce] id:0002, cur_start:1743940690.118358, cur_end:1743940691.611225, duration(s):1.492867, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):88.134134
[Allreduce] id:0003, cur_start:1743940708.013414, cur_end:1743940708.015894, duration(s):0.002480, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000385
[Allreduce] id:0004, cur_start:1743940720.379979, cur_end:1743940721.795035, duration(s):1.415056, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):92.980448
[Allreduce] id:0005, cur_start:1743940722.791756, cur_end:1743940722.814095, duration(s):0.022339, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000043
[Allreduce] id:0006, cur_start:1743940730.458966, cur_end:1743940730.473626, duration(s):0.014660, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):175.063900
[Allreduce] id:0007, cur_start:1743940730.566449, cur_end:1743940730.601907, duration(s):0.035458, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):285.642053
[Allreduce] id:0008, cur_start:1743940730.670553, cur_end:1743940730.715673, duration(s):0.045120, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):280.696788
[Allreduce] id:0009, cur_start:1743940730.778568, cur_end:1743940730.823002, duration(s):0.044434, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):228.039124
[Allreduce] id:0010, cur_start:1743940730.875310, cur_end:1743940730.921469, duration(s):0.046159, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):274.378541
[Allreduce] id:0011, cur_start:1743940730.969578, cur_end:1743940731.011498, duration(s):0.041920, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):241.714943
[Allreduce] id:0012, cur_start:1743940731.063764, cur_end:1743940731.109086, duration(s):0.045322, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):279.445723
[Allreduce] id:0013, cur_start:1743940731.175535, cur_end:1743940731.250671, duration(s):0.075136, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):134.857997
[Allreduce] id:0014, cur_start:1743940731.269199, cur_end:1743940731.314783, duration(s):0.045584, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):277.839572
[Allreduce] id:0015, cur_start:1743940731.369808, cur_end:1743940731.419370, duration(s):0.049562, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):204.444745
[Allreduce] id:0016, cur_start:1743940731.459486, cur_end:1743940731.517495, duration(s):0.058009, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):218.328864
[Allreduce] id:0017, cur_start:1743940731.558953, cur_end:1743940731.623457, duration(s):0.064504, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):157.086234
[Allreduce] id:0018, cur_start:1743940731.652842, cur_end:1743940731.724342, duration(s):0.071500, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):177.133413
