[Allreduce] id:0001, cur_start:1744031994.570597, cur_end:1744031996.174926, duration(s):1.604329, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.000346
[Allreduce] id:0002, cur_start:1744031996.175267, cur_end:1744032007.236827, duration(s):11.061560, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):23.789147
[Allreduce] id:0003, cur_start:1744032014.402512, cur_end:1744032014.402573, duration(s):0.000061, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.031268
[Allreduce] id:0004, cur_start:1744032045.294509, cur_end:1744032058.475621, duration(s):13.181112, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):19.963800
[Allreduce] id:0005, cur_start:1744032058.790496, cur_end:1744032058.790557, duration(s):0.000061, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.031268
[Allreduce] id:0006, cur_start:1744032074.398604, cur_end:1744032075.486669, duration(s):1.088065, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):4.717433
[Allreduce] id:0007, cur_start:1744032075.487012, cur_end:1744032075.864569, duration(s):0.377557, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):53.651745
[Allreduce] id:0008, cur_start:1744032075.864781, cur_end:1744032076.224128, duration(s):0.359347, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):70.489188
[Allreduce] id:0009, cur_start:1744032076.224518, cur_end:1744032076.486236, duration(s):0.261718, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):77.432125
[Allreduce] id:0010, cur_start:1744032076.486604, cur_end:1744032076.807366, duration(s):0.320762, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):78.968451
[Allreduce] id:0011, cur_start:1744032076.807737, cur_end:1744032077.083777, duration(s):0.276040, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):73.414653
[Allreduce] id:0012, cur_start:1744032077.084097, cur_end:1744032077.475867, duration(s):0.391770, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):64.655482
[Allreduce] id:0013, cur_start:1744032077.476314, cur_end:1744032077.811167, duration(s):0.334853, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):60.520231
[Allreduce] id:0014, cur_start:1744032077.811470, cur_end:1744032078.187353, duration(s):0.375883, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):67.388198
[Allreduce] id:0015, cur_start:1744032078.187658, cur_end:1744032078.491183, duration(s):0.303525, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):66.766760
[Allreduce] id:0016, cur_start:1744032078.491531, cur_end:1744032078.915685, duration(s):0.424154, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):59.719060
[Allreduce] id:0017, cur_start:1744032078.916003, cur_end:1744032079.163961, duration(s):0.247958, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):81.729087
[Allreduce] id:0018, cur_start:1744032079.164388, cur_end:1744032079.500274, duration(s):0.335886, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):75.412724
[Allreduce] id:0019, cur_start:1744032079.500647, cur_end:1744032079.823129, duration(s):0.322482, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):62.841898
[Allreduce] id:0020, cur_start:1744032079.823443, cur_end:1744032080.243486, duration(s):0.420043, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):60.303536
[Allreduce] id:0021, cur_start:1744032080.243867, cur_end:1744032080.579619, duration(s):0.335752, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):60.358184
[Allreduce] id:0022, cur_start:1744032080.579999, cur_end:1744032080.963316, duration(s):0.383317, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):66.081280
[Allreduce] id:0023, cur_start:1744032080.963625, cur_end:1744032081.275908, duration(s):0.312283, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):64.894281
[Allreduce] id:0024, cur_start:1744032081.276196, cur_end:1744032081.595303, duration(s):0.319107, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):79.378008
[Allreduce] id:0025, cur_start:1744032081.595634, cur_end:1744032081.907518, duration(s):0.311884, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):64.977302
[Allreduce] id:0026, cur_start:1744032081.907980, cur_end:1744032082.259391, duration(s):0.351411, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):72.081062
[Allreduce] id:0027, cur_start:1744032082.259723, cur_end:1744032082.627224, duration(s):0.367501, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):55.143743
[Allreduce] id:0028, cur_start:1744032082.627566, cur_end:1744032083.075372, duration(s):0.447806, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):56.564848
[Allreduce] id:0029, cur_start:1744032083.075739, cur_end:1744032083.439184, duration(s):0.363445, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):55.759141
[Allreduce] id:0030, cur_start:1744032083.439518, cur_end:1744032083.915405, duration(s):0.475887, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):53.227086
[Allreduce] id:0031, cur_start:1744032083.915801, cur_end:1744032084.319158, duration(s):0.403357, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):50.241798
[Allreduce] id:0032, cur_start:1744032084.319480, cur_end:1744032084.707372, duration(s):0.387892, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):65.301883
[Allreduce] id:0033, cur_start:1744032084.707715, cur_end:1744032084.991202, duration(s):0.283487, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):71.486103
[Allreduce] id:0034, cur_start:1744032084.991627, cur_end:1744032085.361856, duration(s):0.370229, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):68.417326
[Allreduce] id:0035, cur_start:1744032085.362231, cur_end:1744032085.687341, duration(s):0.325110, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):62.333920
[Allreduce] id:0036, cur_start:1744032085.687699, cur_end:1744032085.987565, duration(s):0.299866, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):84.471324
[Allreduce] id:0037, cur_start:1744032085.987923, cur_end:1744032086.387531, duration(s):0.399608, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):50.713151
[Allreduce] id:0038, cur_start:1744032086.387799, cur_end:1744032086.739514, duration(s):0.351715, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):72.018760
[Allreduce] id:0039, cur_start:1744032086.739735, cur_end:1744032087.074849, duration(s):0.335114, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):60.473095
[Allreduce] id:0040, cur_start:1744032087.075156, cur_end:1744032087.475479, duration(s):0.400323, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):63.274101
[Allreduce] id:0041, cur_start:1744032087.475783, cur_end:1744032087.911578, duration(s):0.435795, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):46.502096
[Allreduce] id:0042, cur_start:1744032087.911812, cur_end:1744032088.224432, duration(s):0.312620, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):81.025136
[Allreduce] id:0043, cur_start:1744032088.224656, cur_end:1744032088.504214, duration(s):0.279558, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):72.490792
[Allreduce] id:0044, cur_start:1744032088.504424, cur_end:1744032088.820069, duration(s):0.315645, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):80.248628
