[Allreduce] id:0001, cur_start:1744088243.732564, cur_end:1744088244.019211, duration(s):0.286647, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.001936
[Allreduce] id:0002, cur_start:1744088244.019584, cur_end:1744088249.631567, duration(s):5.611983, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):46.889857
[Allreduce] id:0003, cur_start:1744088256.582694, cur_end:1744088256.631857, duration(s):0.049163, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000039
[Allreduce] id:0004, cur_start:1744088286.397165, cur_end:1744088292.066900, duration(s):5.669735, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):46.412236
[Allreduce] id:0005, cur_start:1744088292.372514, cur_end:1744088292.372566, duration(s):0.000052, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.036680
[Allreduce] id:0006, cur_start:1744088307.619072, cur_end:1744088307.773548, duration(s):0.154476, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):33.227644
[Allreduce] id:0007, cur_start:1744088307.906119, cur_end:1744088308.135060, duration(s):0.228941, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):88.479529
[Allreduce] id:0008, cur_start:1744088308.162717, cur_end:1744088308.386898, duration(s):0.224181, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):112.989406
[Allreduce] id:0009, cur_start:1744088308.434806, cur_end:1744088308.655563, duration(s):0.220757, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):91.799494
[Allreduce] id:0010, cur_start:1744088308.692446, cur_end:1744088308.911176, duration(s):0.218730, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):115.805231
[Allreduce] id:0011, cur_start:1744088308.961907, cur_end:1744088309.188308, duration(s):0.226401, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):89.511004
[Allreduce] id:0012, cur_start:1744088309.236275, cur_end:1744088309.442752, duration(s):0.206477, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):122.677480
[Allreduce] id:0013, cur_start:1744088309.519674, cur_end:1744088309.728930, duration(s):0.209256, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):96.844921
[Allreduce] id:0014, cur_start:1744088309.771855, cur_end:1744088309.992979, duration(s):0.221124, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):114.551465
[Allreduce] id:0015, cur_start:1744088310.051452, cur_end:1744088310.259355, duration(s):0.207903, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):97.475173
[Allreduce] id:0016, cur_start:1744088310.296779, cur_end:1744088310.536011, duration(s):0.239232, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):105.880811
[Allreduce] id:0017, cur_start:1744088310.592623, cur_end:1744088310.811637, duration(s):0.219014, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):92.530070
[Allreduce] id:0018, cur_start:1744088310.857313, cur_end:1744088311.050428, duration(s):0.193115, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):131.165772
[Allreduce] id:0019, cur_start:1744088311.133656, cur_end:1744088311.342325, duration(s):0.208669, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):97.117353
[Allreduce] id:0020, cur_start:1744088311.392776, cur_end:1744088311.586546, duration(s):0.193770, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):130.722393
[Allreduce] id:0021, cur_start:1744088311.697940, cur_end:1744088311.880825, duration(s):0.182885, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):110.809420
