[Allreduce] id:0001, cur_start:1744006277.488124, cur_end:1744006278.454823, duration(s):0.966699, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.000287
[Allreduce] id:0002, cur_start:1744006278.455495, cur_end:1744006280.161377, duration(s):1.705882, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):77.128746
[Allreduce] id:0003, cur_start:1744006294.883952, cur_end:1744006294.950900, duration(s):0.066948, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000014
[Allreduce] id:0004, cur_start:1744006306.702327, cur_end:1744006310.767739, duration(s):4.065412, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):32.363888
[Allreduce] id:0005, cur_start:1744006311.271453, cur_end:1744006311.272940, duration(s):0.001487, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000641
[Allreduce] id:0006, cur_start:1744006318.564697, cur_end:1744006318.829398, duration(s):0.264701, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):9.695607
[Allreduce] id:0007, cur_start:1744006318.829844, cur_end:1744006318.948045, duration(s):0.118201, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):85.687058
[Allreduce] id:0008, cur_start:1744006318.948292, cur_end:1744006319.268869, duration(s):0.320577, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):39.507011
[Allreduce] id:0009, cur_start:1744006319.269303, cur_end:1744006319.329517, duration(s):0.060214, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):168.277982
[Allreduce] id:0010, cur_start:1744006319.329762, cur_end:1744006319.396587, duration(s):0.066825, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):189.525463
[Allreduce] id:0011, cur_start:1744006319.396835, cur_end:1744006319.461984, duration(s):0.065149, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):155.531020
[Allreduce] id:0012, cur_start:1744006319.462274, cur_end:1744006319.570221, duration(s):0.107947, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):117.326457
[Allreduce] id:0013, cur_start:1744006319.570455, cur_end:1744006319.669603, duration(s):0.099148, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):102.197628
[Allreduce] id:0014, cur_start:1744006319.669985, cur_end:1744006319.766009, duration(s):0.096024, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):131.894517
[Allreduce] id:0015, cur_start:1744006319.766296, cur_end:1744006319.860566, duration(s):0.094270, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):107.485843
[Allreduce] id:0016, cur_start:1744006319.860956, cur_end:1744006319.978997, duration(s):0.118041, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):107.293560
[Allreduce] id:0017, cur_start:1744006319.979233, cur_end:1744006320.091121, duration(s):0.111888, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):90.561011
[Allreduce] id:0018, cur_start:1744006320.091475, cur_end:1744006320.187289, duration(s):0.095814, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):132.183596
[Allreduce] id:0019, cur_start:1744006320.187562, cur_end:1744006320.271401, duration(s):0.083839, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):120.858913
[Allreduce] id:0020, cur_start:1744006320.271735, cur_end:1744006320.384724, duration(s):0.112989, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):112.090903
[Allreduce] id:0021, cur_start:1744006320.384967, cur_end:1744006320.476981, duration(s):0.092014, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):110.121182
[Allreduce] id:0022, cur_start:1744006320.477281, cur_end:1744006320.577266, duration(s):0.099985, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):126.669391
[Allreduce] id:0023, cur_start:1744006320.577523, cur_end:1744006320.684599, duration(s):0.107076, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):94.630827
[Allreduce] id:0024, cur_start:1744006320.685092, cur_end:1744006321.032773, duration(s):0.347681, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):36.427182
[Allreduce] id:0025, cur_start:1744006321.033261, cur_end:1744006321.132134, duration(s):0.098873, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):102.481875
[Allreduce] id:0026, cur_start:1744006321.132379, cur_end:1744006321.198606, duration(s):0.066227, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):191.236793
[Allreduce] id:0027, cur_start:1744006321.199052, cur_end:1744006321.274804, duration(s):0.075752, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):133.761359
[Allreduce] id:0028, cur_start:1744006321.275030, cur_end:1744006321.341207, duration(s):0.066177, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):191.381281
[Allreduce] id:0029, cur_start:1744006321.341638, cur_end:1744006321.400043, duration(s):0.058405, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):173.490120
[Allreduce] id:0030, cur_start:1744006321.400494, cur_end:1744006321.474427, duration(s):0.073933, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):171.304276
[Allreduce] id:0031, cur_start:1744006321.474683, cur_end:1744006321.531023, duration(s):0.056340, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):179.848960
[Allreduce] id:0032, cur_start:1744006321.531240, cur_end:1744006321.591022, duration(s):0.059782, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):211.853720
[Allreduce] id:0033, cur_start:1744006321.591335, cur_end:1744006321.669117, duration(s):0.077782, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):130.270377
[Allreduce] id:0034, cur_start:1744006321.669421, cur_end:1744006321.787562, duration(s):0.118141, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):107.202741
[Allreduce] id:0035, cur_start:1744006321.787930, cur_end:1744006321.878011, duration(s):0.090081, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):112.484213
[Allreduce] id:0036, cur_start:1744006321.878380, cur_end:1744006321.998199, duration(s):0.119819, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):105.701425
[Allreduce] id:0037, cur_start:1744006321.998529, cur_end:1744006322.095414, duration(s):0.096885, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):104.584718
[Allreduce] id:0038, cur_start:1744006322.095819, cur_end:1744006322.197847, duration(s):0.102028, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):124.132974
[Allreduce] id:0039, cur_start:1744006322.198377, cur_end:1744006322.289835, duration(s):0.091458, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):110.790641
[Allreduce] id:0040, cur_start:1744006322.290165, cur_end:1744006322.393490, duration(s):0.103325, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):122.574779
[Allreduce] id:0041, cur_start:1744006322.393779, cur_end:1744006322.789187, duration(s):0.395408, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):25.625912
[Allreduce] id:0042, cur_start:1744006322.789440, cur_end:1744006322.859467, duration(s):0.070027, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):180.859369
[Allreduce] id:0043, cur_start:1744006322.859808, cur_end:1744006322.915035, duration(s):0.055227, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):183.473490
[Allreduce] id:0044, cur_start:1744006322.915368, cur_end:1744006322.976261, duration(s):0.060893, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):207.988423
[Allreduce] id:0045, cur_start:1744006322.976555, cur_end:1744006323.037044, duration(s):0.060489, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):167.512943
[Allreduce] id:0046, cur_start:1744006323.037336, cur_end:1744006323.101322, duration(s):0.063986, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):197.934534
[Allreduce] id:0047, cur_start:1744006323.101784, cur_end:1744006323.193979, duration(s):0.092195, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):109.904989
[Allreduce] id:0048, cur_start:1744006323.194286, cur_end:1744006323.268021, duration(s):0.073735, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):171.764278
[Allreduce] id:0049, cur_start:1744006323.268487, cur_end:1744006323.333035, duration(s):0.064548, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):156.979154
[Allreduce] id:0050, cur_start:1744006323.333520, cur_end:1744006323.442275, duration(s):0.108755, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):116.454775
[Allreduce] id:0051, cur_start:1744006323.442628, cur_end:1744006323.569859, duration(s):0.127231, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):79.640107
[Allreduce] id:0052, cur_start:1744006323.570181, cur_end:1744006323.668760, duration(s):0.098579, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):128.476035
[Allreduce] id:0053, cur_start:1744006323.669040, cur_end:1744006323.878103, duration(s):0.209063, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):48.467163
[Allreduce] id:0054, cur_start:1744006323.878428, cur_end:1744006323.959503, duration(s):0.081075, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):156.213864
[Allreduce] id:0055, cur_start:1744006323.959791, cur_end:1744006324.652411, duration(s):0.692620, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):14.629509
[Allreduce] id:0056, cur_start:1744006324.652766, cur_end:1744006324.725353, duration(s):0.072587, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):174.480817
[Allreduce] id:0057, cur_start:1744006324.725649, cur_end:1744006324.986545, duration(s):0.260896, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):38.838044
[Allreduce] id:0058, cur_start:1744006324.986943, cur_end:1744006325.063369, duration(s):0.076426, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):165.716367
[Allreduce] id:0059, cur_start:1744006325.063646, cur_end:1744006325.626681, duration(s):0.563035, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):17.996555
[Allreduce] id:0060, cur_start:1744006325.627024, cur_end:1744006325.710061, duration(s):0.083037, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):152.522840
[Allreduce] id:0061, cur_start:1744006325.710297, cur_end:1744006326.434179, duration(s):0.723882, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):13.997710
[Allreduce] id:0062, cur_start:1744006326.434395, cur_end:1744006326.478067, duration(s):0.043672, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):290.003642
[Allreduce] id:0063, cur_start:1744006326.478291, cur_end:1744006326.507099, duration(s):0.028808, ele_sz(B):4, cnt:2803968, total(MB):10.696289, avg_bw(MB/s):92.823947
[Allreduce] id:0064, cur_start:1744006327.059767, cur_end:1744006327.064222, duration(s):0.004455, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000214
[Allreduce] id:0065, cur_start:1744006332.995419, cur_end:1744006333.685222, duration(s):0.689803, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):3.720536
[Allreduce] id:0066, cur_start:1744006333.685623, cur_end:1744006333.883510, duration(s):0.197887, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):51.182220
[Allreduce] id:0067, cur_start:1744006333.883726, cur_end:1744006334.006486, duration(s):0.122760, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):103.169103
[Allreduce] id:0068, cur_start:1744006334.006709, cur_end:1744006334.124268, duration(s):0.117559, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):86.192384
[Allreduce] id:0069, cur_start:1744006334.124656, cur_end:1744006334.223953, duration(s):0.099297, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):127.547046
[Allreduce] id:0070, cur_start:1744006334.224262, cur_end:1744006334.315869, duration(s):0.091607, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):110.610438
[Allreduce] id:0071, cur_start:1744006334.316069, cur_end:1744006334.418943, duration(s):0.102874, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):123.112148
[Allreduce] id:0072, cur_start:1744006334.419290, cur_end:1744006334.534110, duration(s):0.114820, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):88.248480
[Allreduce] id:0073, cur_start:1744006334.534343, cur_end:1744006334.630768, duration(s):0.096425, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):131.346011
[Allreduce] id:0074, cur_start:1744006334.631205, cur_end:1744006334.744874, duration(s):0.113669, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):89.142074
