[Allreduce] id:0001, cur_start:1743940689.122934, cur_end:1743940689.438651, duration(s):0.315717, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.000879
[Allreduce] id:0002, cur_start:1743940690.216167, cur_end:1743940691.611327, duration(s):1.395160, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):94.306417
[Allreduce] id:0003, cur_start:1743940708.015855, cur_end:1743940708.015911, duration(s):0.000056, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.017030
[Allreduce] id:0004, cur_start:1743940720.129763, cur_end:1743940721.795069, duration(s):1.665306, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):79.008026
[Allreduce] id:0005, cur_start:1743940722.726077, cur_end:1743940722.814080, duration(s):0.088003, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000011
[Allreduce] id:0006, cur_start:1743940730.395558, cur_end:1743940730.473625, duration(s):0.078067, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):32.874797
[Allreduce] id:0007, cur_start:1743940730.501240, cur_end:1743940730.601997, duration(s):0.100757, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):100.522007
[Allreduce] id:0008, cur_start:1743940730.602138, cur_end:1743940730.715901, duration(s):0.113763, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):111.328280
[Allreduce] id:0009, cur_start:1743940730.716147, cur_end:1743940730.823104, duration(s):0.106957, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):94.736113
[Allreduce] id:0010, cur_start:1743940730.823243, cur_end:1743940730.921467, duration(s):0.098224, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):128.940372
[Allreduce] id:0011, cur_start:1743940730.921685, cur_end:1743940731.011610, duration(s):0.089925, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):112.679349
[Allreduce] id:0012, cur_start:1743940731.017916, cur_end:1743940731.109223, duration(s):0.091307, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):138.708303
[Allreduce] id:0013, cur_start:1743940731.120059, cur_end:1743940731.250701, duration(s):0.130642, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):77.560742
[Allreduce] id:0014, cur_start:1743940731.250854, cur_end:1743940731.314852, duration(s):0.063998, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):197.897420
[Allreduce] id:0015, cur_start:1743940731.315013, cur_end:1743940731.419379, duration(s):0.104366, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):97.088040
[Allreduce] id:0016, cur_start:1743940731.419620, cur_end:1743940731.517571, duration(s):0.097951, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):129.299742
[Allreduce] id:0017, cur_start:1743940731.517746, cur_end:1743940731.623643, duration(s):0.105897, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):95.684395
[Allreduce] id:0018, cur_start:1743940731.623788, cur_end:1743940731.724398, duration(s):0.100610, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):125.882507
[Allreduce] id:0019, cur_start:1743940731.724521, cur_end:1743940731.824687, duration(s):0.100166, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):101.158980
[Allreduce] id:0020, cur_start:1743940731.824819, cur_end:1743940731.930681, duration(s):0.105862, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):119.637255
[Allreduce] id:0021, cur_start:1743940731.930809, cur_end:1743940732.037466, duration(s):0.106657, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):95.002582
[Allreduce] id:0022, cur_start:1743940732.037609, cur_end:1743940732.153618, duration(s):0.116009, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):109.172901
[Allreduce] id:0023, cur_start:1743940732.153794, cur_end:1743940732.248782, duration(s):0.094988, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):106.673374
[Allreduce] id:0024, cur_start:1743940732.248989, cur_end:1743940732.358330, duration(s):0.109341, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):115.830650
[Allreduce] id:0025, cur_start:1743940732.358460, cur_end:1743940732.460571, duration(s):0.102111, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):99.232114
[Allreduce] id:0026, cur_start:1743940732.460840, cur_end:1743940732.568112, duration(s):0.107272, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):118.064724
[Allreduce] id:0027, cur_start:1743940732.568282, cur_end:1743940732.660778, duration(s):0.092496, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):109.547336
[Allreduce] id:0028, cur_start:1743940732.661048, cur_end:1743940732.760699, duration(s):0.099651, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):127.093949
[Allreduce] id:0029, cur_start:1743940732.760838, cur_end:1743940732.857110, duration(s):0.096272, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):105.250648
[Allreduce] id:0030, cur_start:1743940732.857240, cur_end:1743940732.951902, duration(s):0.094662, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):133.792219
[Allreduce] id:0031, cur_start:1743940732.952054, cur_end:1743940733.049168, duration(s):0.097114, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):104.338102
[Allreduce] id:0032, cur_start:1743940733.049333, cur_end:1743940733.144382, duration(s):0.095049, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):133.247473
[Allreduce] id:0033, cur_start:1743940733.144586, cur_end:1743940733.247064, duration(s):0.102478, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):98.876739
[Allreduce] id:0034, cur_start:1743940733.247215, cur_end:1743940733.369836, duration(s):0.122621, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):103.286053
[Allreduce] id:0035, cur_start:1743940733.370049, cur_end:1743940733.470300, duration(s):0.100251, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):101.073211
[Allreduce] id:0036, cur_start:1743940733.470448, cur_end:1743940733.571024, duration(s):0.100576, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):125.925062
[Allreduce] id:0037, cur_start:1743940733.571175, cur_end:1743940733.669920, duration(s):0.098745, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):102.614719
[Allreduce] id:0038, cur_start:1743940733.670073, cur_end:1743940733.768057, duration(s):0.097984, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):129.256196
[Allreduce] id:0039, cur_start:1743940733.768315, cur_end:1743940733.868434, duration(s):0.100119, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):101.206469
[Allreduce] id:0040, cur_start:1743940733.868639, cur_end:1743940733.986478, duration(s):0.117839, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):107.477483
[Allreduce] id:0041, cur_start:1743940733.986694, cur_end:1743940734.084130, duration(s):0.097436, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):103.993292
[Allreduce] id:0042, cur_start:1743940734.084381, cur_end:1743940734.196512, duration(s):0.112131, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):112.948596
[Allreduce] id:0043, cur_start:1743940734.196659, cur_end:1743940734.292949, duration(s):0.096290, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):105.230973
[Allreduce] id:0044, cur_start:1743940734.293106, cur_end:1743940734.401805, duration(s):0.108699, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):116.514771
[Allreduce] id:0045, cur_start:1743940734.401962, cur_end:1743940734.502635, duration(s):0.100673, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):100.649533
[Allreduce] id:0046, cur_start:1743940734.502799, cur_end:1743940734.611473, duration(s):0.108674, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):116.541574
[Allreduce] id:0047, cur_start:1743940734.611608, cur_end:1743940734.722933, duration(s):0.111325, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):91.019002
[Allreduce] id:0048, cur_start:1743940734.723128, cur_end:1743940734.822295, duration(s):0.099167, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):127.714250
[Allreduce] id:0049, cur_start:1743940734.822437, cur_end:1743940734.928787, duration(s):0.106350, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):95.276826
[Allreduce] id:0050, cur_start:1743940734.929008, cur_end:1743940735.035148, duration(s):0.106140, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):119.323903
[Allreduce] id:0051, cur_start:1743940735.035284, cur_end:1743940735.126806, duration(s):0.091522, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):110.713167
[Allreduce] id:0052, cur_start:1743940735.126993, cur_end:1743940735.234004, duration(s):0.107011, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):118.352684
[Allreduce] id:0053, cur_start:1743940735.234132, cur_end:1743940735.330272, duration(s):0.096140, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):105.395157
[Allreduce] id:0054, cur_start:1743940735.330479, cur_end:1743940735.433101, duration(s):0.102622, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):123.414463
[Allreduce] id:0055, cur_start:1743940735.433243, cur_end:1743940735.530290, duration(s):0.097047, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):104.410136
[Allreduce] id:0056, cur_start:1743940735.530561, cur_end:1743940735.644406, duration(s):0.113845, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):111.248092
