[Allreduce] id:0001, cur_start:1744031996.170797, cur_end:1744031996.171636, duration(s):0.000839, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.661548
[Allreduce] id:0002, cur_start:1744031996.518489, cur_end:1744032007.279451, duration(s):10.760962, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):24.453676
[Allreduce] id:0003, cur_start:1744032013.994477, cur_end:1744032014.410451, duration(s):0.415974, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000005
[Allreduce] id:0004, cur_start:1744032047.618482, cur_end:1744032058.475603, duration(s):10.857121, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):24.237096
[Allreduce] id:0005, cur_start:1744032058.786480, cur_end:1744032058.790560, duration(s):0.004080, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000467
[Allreduce] id:0006, cur_start:1744032075.326508, cur_end:1744032075.427338, duration(s):0.100830, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):50.906214
[Allreduce] id:0007, cur_start:1744032075.606783, cur_end:1744032075.887337, duration(s):0.280554, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):72.202114
[Allreduce] id:0008, cur_start:1744032075.887644, cur_end:1744032076.211742, duration(s):0.324098, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):78.155614
[Allreduce] id:0009, cur_start:1744032076.211975, cur_end:1744032076.499169, duration(s):0.287194, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):70.563385
[Allreduce] id:0010, cur_start:1744032076.499484, cur_end:1744032076.795879, duration(s):0.296395, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):85.460545
[Allreduce] id:0011, cur_start:1744032076.796157, cur_end:1744032077.107237, duration(s):0.311080, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):65.145239
[Allreduce] id:0012, cur_start:1744032077.107568, cur_end:1744032077.475719, duration(s):0.368151, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):68.803502
[Allreduce] id:0013, cur_start:1744032077.475975, cur_end:1744032077.823896, duration(s):0.347921, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):58.247076
[Allreduce] id:0014, cur_start:1744032077.824245, cur_end:1744032078.187833, duration(s):0.363588, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):69.666981
[Allreduce] id:0015, cur_start:1744032078.188123, cur_end:1744032078.503350, duration(s):0.315227, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):64.288214
[Allreduce] id:0016, cur_start:1744032078.503674, cur_end:1744032078.915993, duration(s):0.412319, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):61.433206
[Allreduce] id:0017, cur_start:1744032078.916326, cur_end:1744032079.175289, duration(s):0.258963, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):78.255893
[Allreduce] id:0018, cur_start:1744032079.175580, cur_end:1744032079.522575, duration(s):0.346995, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):72.998395
[Allreduce] id:0019, cur_start:1744032079.522805, cur_end:1744032079.835335, duration(s):0.312530, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):64.842994
[Allreduce] id:0020, cur_start:1744032079.835654, cur_end:1744032080.231511, duration(s):0.395857, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):63.987951
[Allreduce] id:0021, cur_start:1744032080.231747, cur_end:1744032080.611328, duration(s):0.379581, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):53.388818
[Allreduce] id:0022, cur_start:1744032080.611653, cur_end:1744032080.963478, duration(s):0.351825, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):71.996243
[Allreduce] id:0023, cur_start:1744032080.963763, cur_end:1744032081.287341, duration(s):0.323578, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):62.629044
[Allreduce] id:0024, cur_start:1744032081.287644, cur_end:1744032081.560534, duration(s):0.272890, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):92.821570
[Allreduce] id:0025, cur_start:1744032081.560776, cur_end:1744032081.904201, duration(s):0.343425, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):59.009626
[Allreduce] id:0026, cur_start:1744032081.904529, cur_end:1744032082.259469, duration(s):0.354940, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):71.364394
[Allreduce] id:0027, cur_start:1744032082.259714, cur_end:1744032082.627335, duration(s):0.367621, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):55.125743
[Allreduce] id:0028, cur_start:1744032082.627698, cur_end:1744032083.075842, duration(s):0.448144, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):56.522185
[Allreduce] id:0029, cur_start:1744032083.076192, cur_end:1744032083.439329, duration(s):0.363137, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):55.806434
