[Allreduce] id:0001, cur_start:1744088242.511915, cur_end:1744088243.737147, duration(s):1.225232, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.000453
[Allreduce] id:0002, cur_start:1744088243.738988, cur_end:1744088249.631495, duration(s):5.892507, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):44.657576
[Allreduce] id:0003, cur_start:1744088256.631807, cur_end:1744088256.631867, duration(s):0.000060, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.031789
[Allreduce] id:0004, cur_start:1744088285.914974, cur_end:1744088292.066785, duration(s):6.151811, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):42.775222
[Allreduce] id:0005, cur_start:1744088292.367656, cur_end:1744088292.372552, duration(s):0.004896, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000390
[Allreduce] id:0006, cur_start:1744088307.342666, cur_end:1744088307.773549, duration(s):0.430883, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):11.912453
[Allreduce] id:0007, cur_start:1744088307.773963, cur_end:1744088308.134902, duration(s):0.360939, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):56.121926
[Allreduce] id:0008, cur_start:1744088308.135250, cur_end:1744088308.386847, duration(s):0.251597, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):100.677187
[Allreduce] id:0009, cur_start:1744088308.387262, cur_end:1744088308.655370, duration(s):0.268108, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):75.586632
[Allreduce] id:0010, cur_start:1744088308.655759, cur_end:1744088308.911125, duration(s):0.255366, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):99.191271
[Allreduce] id:0011, cur_start:1744088308.911524, cur_end:1744088309.188163, duration(s):0.276639, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):73.255690
[Allreduce] id:0012, cur_start:1744088309.188568, cur_end:1744088309.442872, duration(s):0.254304, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):99.605504
[Allreduce] id:0013, cur_start:1744088309.443213, cur_end:1744088309.728766, duration(s):0.285553, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):70.968895
