[Allreduce] id:0001, cur_start:1744006277.326804, cur_end:1744006278.455056, duration(s):1.128252, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.000246
[Allreduce] id:0002, cur_start:1744006278.455300, cur_end:1744006280.161975, duration(s):1.706675, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):77.092909
[Allreduce] id:0003, cur_start:1744006294.496057, cur_end:1744006294.950888, duration(s):0.454831, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000002
[Allreduce] id:0004, cur_start:1744006306.570211, cur_end:1744006310.767643, duration(s):4.197432, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):31.345961
[Allreduce] id:0005, cur_start:1744006311.270192, cur_end:1744006311.272925, duration(s):0.002733, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000349
[Allreduce] id:0006, cur_start:1744006317.961279, cur_end:1744006318.829198, duration(s):0.867919, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):2.957000
[Allreduce] id:0007, cur_start:1744006318.829459, cur_end:1744006318.948902, duration(s):0.119443, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):84.796061
[Allreduce] id:0008, cur_start:1744006318.949145, cur_end:1744006319.268493, duration(s):0.319348, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):39.659052
[Allreduce] id:0009, cur_start:1744006319.268881, cur_end:1744006319.330253, duration(s):0.061372, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):165.102823
[Allreduce] id:0010, cur_start:1744006319.330606, cur_end:1744006319.396573, duration(s):0.065967, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):191.990527
[Allreduce] id:0011, cur_start:1744006319.396842, cur_end:1744006319.463065, duration(s):0.066223, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):153.008629
[Allreduce] id:0012, cur_start:1744006319.463440, cur_end:1744006319.570896, duration(s):0.107456, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):117.862558
[Allreduce] id:0013, cur_start:1744006319.571160, cur_end:1744006319.670654, duration(s):0.099494, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):101.842226
[Allreduce] id:0014, cur_start:1744006319.670855, cur_end:1744006319.766110, duration(s):0.095255, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):132.959310
[Allreduce] id:0015, cur_start:1744006319.766449, cur_end:1744006319.861305, duration(s):0.094856, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):106.821819
[Allreduce] id:0016, cur_start:1744006319.861751, cur_end:1744006319.979364, duration(s):0.117613, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):107.684007
[Allreduce] id:0017, cur_start:1744006319.979725, cur_end:1744006320.093441, duration(s):0.113716, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):89.105231
[Allreduce] id:0018, cur_start:1744006320.093804, cur_end:1744006320.186659, duration(s):0.092855, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):136.395876
[Allreduce] id:0019, cur_start:1744006320.186940, cur_end:1744006320.270665, duration(s):0.083725, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):121.023475
