[Allreduce] id:0001, cur_start:1743940689.285768, cur_end:1743940689.438638, duration(s):0.152870, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.001815
[Allreduce] id:0002, cur_start:1743940690.249142, cur_end:1743940691.612131, duration(s):1.362989, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):96.532357
[Allreduce] id:0003, cur_start:1743940707.058471, cur_end:1743940708.015968, duration(s):0.957497, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000001
[Allreduce] id:0004, cur_start:1743940720.138575, cur_end:1743940721.795512, duration(s):1.656937, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):79.407087
[Allreduce] id:0005, cur_start:1743940722.811263, cur_end:1743940722.814072, duration(s):0.002809, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000340
[Allreduce] id:0006, cur_start:1743940730.276122, cur_end:1743940730.475169, duration(s):0.199047, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):12.893622
[Allreduce] id:0007, cur_start:1743940730.475347, cur_end:1743940730.601974, duration(s):0.126627, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):79.985279
[Allreduce] id:0008, cur_start:1743940730.602119, cur_end:1743940730.715760, duration(s):0.113641, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):111.447797
[Allreduce] id:0009, cur_start:1743940730.716088, cur_end:1743940730.822656, duration(s):0.106568, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):95.081924
[Allreduce] id:0010, cur_start:1743940730.822823, cur_end:1743940730.921685, duration(s):0.098862, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):128.108263
[Allreduce] id:0011, cur_start:1743940730.921870, cur_end:1743940731.010896, duration(s):0.089026, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):113.817204
[Allreduce] id:0012, cur_start:1743940731.011035, cur_end:1743940731.109320, duration(s):0.098285, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):128.860346
[Allreduce] id:0013, cur_start:1743940731.109486, cur_end:1743940731.251289, duration(s):0.141803, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):71.456108
[Allreduce] id:0014, cur_start:1743940731.251508, cur_end:1743940731.315104, duration(s):0.063596, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):199.148359
[Allreduce] id:0015, cur_start:1743940731.315340, cur_end:1743940731.419736, duration(s):0.104396, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):97.060141
[Allreduce] id:0016, cur_start:1743940731.419949, cur_end:1743940731.518671, duration(s):0.098722, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):128.289936
[Allreduce] id:0017, cur_start:1743940731.518866, cur_end:1743940731.621381, duration(s):0.102515, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):98.841052
[Allreduce] id:0018, cur_start:1743940731.621593, cur_end:1743940731.724947, duration(s):0.103354, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):122.540386
[Allreduce] id:0019, cur_start:1743940731.725087, cur_end:1743940731.824292, duration(s):0.099205, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):102.138909
[Allreduce] id:0020, cur_start:1743940731.824429, cur_end:1743940731.930888, duration(s):0.106459, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):118.966354
[Allreduce] id:0021, cur_start:1743940731.931024, cur_end:1743940732.037795, duration(s):0.106771, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):94.901148
[Allreduce] id:0022, cur_start:1743940732.037969, cur_end:1743940732.152629, duration(s):0.114660, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):110.457344
[Allreduce] id:0023, cur_start:1743940732.152921, cur_end:1743940732.249358, duration(s):0.096437, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):105.070569
[Allreduce] id:0024, cur_start:1743940732.249606, cur_end:1743940732.356927, duration(s):0.107321, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):118.010819
[Allreduce] id:0025, cur_start:1743940732.357088, cur_end:1743940732.459366, duration(s):0.102278, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):99.070088
[Allreduce] id:0026, cur_start:1743940732.459564, cur_end:1743940732.568241, duration(s):0.108677, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):116.538357
[Allreduce] id:0027, cur_start:1743940732.568403, cur_end:1743940732.661560, duration(s):0.093157, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):108.770038
[Allreduce] id:0028, cur_start:1743940732.661761, cur_end:1743940732.761733, duration(s):0.099972, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):126.685863
[Allreduce] id:0029, cur_start:1743940732.761883, cur_end:1743940732.857156, duration(s):0.095273, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):106.354271
[Allreduce] id:0030, cur_start:1743940732.857415, cur_end:1743940732.952597, duration(s):0.095182, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):133.061283
[Allreduce] id:0031, cur_start:1743940732.952759, cur_end:1743940733.047989, duration(s):0.095230, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):106.402294
[Allreduce] id:0032, cur_start:1743940733.048167, cur_end:1743940733.144175, duration(s):0.096008, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):131.916497
[Allreduce] id:0033, cur_start:1743940733.144410, cur_end:1743940733.247369, duration(s):0.102959, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):98.414810
[Allreduce] id:0034, cur_start:1743940733.247620, cur_end:1743940733.371151, duration(s):0.123531, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):102.525189
[Allreduce] id:0035, cur_start:1743940733.371385, cur_end:1743940733.469555, duration(s):0.098170, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):103.215753
[Allreduce] id:0036, cur_start:1743940733.469727, cur_end:1743940733.571898, duration(s):0.102171, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):123.959236
[Allreduce] id:0037, cur_start:1743940733.572117, cur_end:1743940733.667186, duration(s):0.095069, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):106.582487
[Allreduce] id:0038, cur_start:1743940733.667340, cur_end:1743940733.767753, duration(s):0.100413, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):126.129476
[Allreduce] id:0039, cur_start:1743940733.767913, cur_end:1743940733.868488, duration(s):0.100575, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):100.747606
[Allreduce] id:0040, cur_start:1743940733.868753, cur_end:1743940733.987873, duration(s):0.119120, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):106.321685
[Allreduce] id:0041, cur_start:1743940733.988068, cur_end:1743940734.084522, duration(s):0.096454, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):105.052050
[Allreduce] id:0042, cur_start:1743940734.084686, cur_end:1743940734.197221, duration(s):0.112535, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):112.543112
[Allreduce] id:0043, cur_start:1743940734.197413, cur_end:1743940734.292260, duration(s):0.094847, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):106.831955
