[Allreduce] id:0001, cur_start:1744006278.453560, cur_end:1744006278.455003, duration(s):0.001443, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.192321
[Allreduce] id:0002, cur_start:1744006278.683145, cur_end:1744006280.161978, duration(s):1.478833, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):88.970520
[Allreduce] id:0003, cur_start:1744006294.424320, cur_end:1744006294.950890, duration(s):0.526570, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000002
[Allreduce] id:0004, cur_start:1744006309.319185, cur_end:1744006310.767644, duration(s):1.448459, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):90.836220
[Allreduce] id:0005, cur_start:1744006311.265270, cur_end:1744006311.272922, duration(s):0.007652, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000125
[Allreduce] id:0006, cur_start:1744006318.814422, cur_end:1744006318.829143, duration(s):0.014721, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):174.338480
[Allreduce] id:0007, cur_start:1744006318.909202, cur_end:1744006318.948593, duration(s):0.039391, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):257.122081
[Allreduce] id:0008, cur_start:1744006319.023045, cur_end:1744006319.268484, duration(s):0.245439, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):51.601575
[Allreduce] id:0009, cur_start:1744006319.268806, cur_end:1744006319.328963, duration(s):0.060157, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):168.437429
[Allreduce] id:0010, cur_start:1744006319.329246, cur_end:1744006319.396227, duration(s):0.066981, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):189.084055
[Allreduce] id:0011, cur_start:1744006319.422452, cur_end:1744006319.463617, duration(s):0.041165, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):246.148195
[Allreduce] id:0012, cur_start:1744006319.521903, cur_end:1744006319.570193, duration(s):0.048290, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):262.270430
[Allreduce] id:0013, cur_start:1744006319.623176, cur_end:1744006319.670643, duration(s):0.047467, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):213.468103
[Allreduce] id:0014, cur_start:1744006319.719291, cur_end:1744006319.766337, duration(s):0.047046, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):269.205439
[Allreduce] id:0015, cur_start:1744006319.822670, cur_end:1744006319.861837, duration(s):0.039167, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):258.704788
[Allreduce] id:0016, cur_start:1744006319.931607, cur_end:1744006319.979346, duration(s):0.047739, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):265.297536
[Allreduce] id:0017, cur_start:1744006320.046201, cur_end:1744006320.091434, duration(s):0.045233, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):224.011019
[Allreduce] id:0018, cur_start:1744006320.142628, cur_end:1744006320.186260, duration(s):0.043632, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):290.269505
[Allreduce] id:0019, cur_start:1744006320.224919, cur_end:1744006320.271581, duration(s):0.046662, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):217.150796
[Allreduce] id:0020, cur_start:1744006320.338706, cur_end:1744006320.384466, duration(s):0.045760, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):276.770959
[Allreduce] id:0021, cur_start:1744006320.419685, cur_end:1744006320.476409, duration(s):0.056724, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):178.631451
[Allreduce] id:0022, cur_start:1744006320.521866, cur_end:1744006320.576625, duration(s):0.054759, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):231.286895
[Allreduce] id:0023, cur_start:1744006320.628138, cur_end:1744006320.684246, duration(s):0.056108, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):180.592615
[Allreduce] id:0024, cur_start:1744006320.721808, cur_end:1744006321.032123, duration(s):0.310315, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):40.813493
[Allreduce] id:0025, cur_start:1744006321.032417, cur_end:1744006321.132362, duration(s):0.099945, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):101.382665
[Allreduce] id:0026, cur_start:1744006321.133008, cur_end:1744006321.196556, duration(s):0.063548, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):199.298783
[Allreduce] id:0027, cur_start:1744006321.196786, cur_end:1744006321.275520, duration(s):0.078734, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):128.695232
[Allreduce] id:0028, cur_start:1744006321.276057, cur_end:1744006321.341564, duration(s):0.065507, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):193.338713
[Allreduce] id:0029, cur_start:1744006321.341922, cur_end:1744006321.399691, duration(s):0.057769, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):175.400136
[Allreduce] id:0030, cur_start:1744006321.399913, cur_end:1744006321.475601, duration(s):0.075688, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):167.332194
[Allreduce] id:0031, cur_start:1744006321.475868, cur_end:1744006321.531229, duration(s):0.055361, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):183.029397
[Allreduce] id:0032, cur_start:1744006321.531434, cur_end:1744006321.590713, duration(s):0.059279, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):213.651362
[Allreduce] id:0033, cur_start:1744006321.615395, cur_end:1744006321.669339, duration(s):0.053944, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):187.837210
[Allreduce] id:0034, cur_start:1744006321.710685, cur_end:1744006321.786502, duration(s):0.075817, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):167.047484
[Allreduce] id:0035, cur_start:1744006321.823380, cur_end:1744006321.877336, duration(s):0.053956, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):187.795434
[Allreduce] id:0036, cur_start:1744006321.926351, cur_end:1744006321.997115, duration(s):0.070764, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):178.975737
[Allreduce] id:0037, cur_start:1744006322.017401, cur_end:1744006322.095182, duration(s):0.077781, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):130.272051
[Allreduce] id:0038, cur_start:1744006322.123860, cur_end:1744006322.196911, duration(s):0.073051, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):173.372562
[Allreduce] id:0039, cur_start:1744006322.234983, cur_end:1744006322.290015, duration(s):0.055032, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):184.123609
[Allreduce] id:0040, cur_start:1744006322.344232, cur_end:1744006322.393096, duration(s):0.048864, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):259.189568
[Allreduce] id:0041, cur_start:1744006322.466764, cur_end:1744006322.789413, duration(s):0.322649, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):31.404686
[Allreduce] id:0042, cur_start:1744006322.789654, cur_end:1744006322.858451, duration(s):0.068797, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):184.092897
[Allreduce] id:0043, cur_start:1744006322.858818, cur_end:1744006322.917171, duration(s):0.058353, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):173.644721
[Allreduce] id:0044, cur_start:1744006322.917606, cur_end:1744006322.976244, duration(s):0.058638, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):215.986887
[Allreduce] id:0045, cur_start:1744006322.976571, cur_end:1744006323.035747, duration(s):0.059176, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):171.229729
[Allreduce] id:0046, cur_start:1744006323.036088, cur_end:1744006323.100834, duration(s):0.064746, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):195.611143
[Allreduce] id:0047, cur_start:1744006323.101102, cur_end:1744006323.193686, duration(s):0.092584, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):109.443213
[Allreduce] id:0048, cur_start:1744006323.193926, cur_end:1744006323.268411, duration(s):0.074485, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):170.034760
[Allreduce] id:0049, cur_start:1744006323.288302, cur_end:1744006323.333188, duration(s):0.044886, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):225.742780
[Allreduce] id:0050, cur_start:1744006323.391379, cur_end:1744006323.441769, duration(s):0.050390, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):251.340327
[Allreduce] id:0051, cur_start:1744006323.520287, cur_end:1744006323.569926, duration(s):0.049639, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):204.127610
[Allreduce] id:0052, cur_start:1744006323.619938, cur_end:1744006323.667489, duration(s):0.047551, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):266.346429
[Allreduce] id:0053, cur_start:1744006323.838962, cur_end:1744006323.877297, duration(s):0.038335, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):264.319563
[Allreduce] id:0054, cur_start:1744006323.921314, cur_end:1744006323.958877, duration(s):0.037563, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):337.167933
[Allreduce] id:0055, cur_start:1744006324.613998, cur_end:1744006324.652242, duration(s):0.038244, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):264.948500
[Allreduce] id:0056, cur_start:1744006324.688267, cur_end:1744006324.725445, duration(s):0.037178, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):340.659505
[Allreduce] id:0057, cur_start:1744006324.949021, cur_end:1744006324.987195, duration(s):0.038174, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):265.434338
[Allreduce] id:0058, cur_start:1744006325.026333, cur_end:1744006325.064000, duration(s):0.037667, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):336.237000
[Allreduce] id:0059, cur_start:1744006325.588428, cur_end:1744006325.626448, duration(s):0.038020, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):266.509480
[Allreduce] id:0060, cur_start:1744006325.672993, cur_end:1744006325.709981, duration(s):0.036988, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):342.409405
[Allreduce] id:0061, cur_start:1744006326.088854, cur_end:1744006326.433595, duration(s):0.344741, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):29.392183
[Allreduce] id:0062, cur_start:1744006326.433822, cur_end:1744006326.478689, duration(s):0.044867, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):282.279606
[Allreduce] id:0063, cur_start:1744006326.478895, cur_end:1744006326.507210, duration(s):0.028315, ele_sz(B):4, cnt:2803968, total(MB):10.696289, avg_bw(MB/s):94.440129
[Allreduce] id:0064, cur_start:1744006327.059415, cur_end:1744006327.064138, duration(s):0.004723, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000202
[Allreduce] id:0065, cur_start:1744006333.671996, cur_end:1744006333.685238, duration(s):0.013242, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):193.810359
[Allreduce] id:0066, cur_start:1744006333.845050, cur_end:1744006333.884137, duration(s):0.039087, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):259.121854
[Allreduce] id:0067, cur_start:1744006333.945694, cur_end:1744006334.006511, duration(s):0.060817, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):208.248336
[Allreduce] id:0068, cur_start:1744006334.046678, cur_end:1744006334.123888, duration(s):0.077210, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):131.235467
[Allreduce] id:0069, cur_start:1744006334.149843, cur_end:1744006334.222615, duration(s):0.072772, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):174.037254
[Allreduce] id:0070, cur_start:1744006334.265646, cur_end:1744006334.315914, duration(s):0.050268, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):201.573375
[Allreduce] id:0071, cur_start:1744006334.365381, cur_end:1744006334.418421, duration(s):0.053040, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):238.782788
[Allreduce] id:0072, cur_start:1744006334.493017, cur_end:1744006334.535134, duration(s):0.042117, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):240.584335
[Allreduce] id:0073, cur_start:1744006334.583466, cur_end:1744006334.630003, duration(s):0.046537, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):272.149882
[Allreduce] id:0074, cur_start:1744006334.701893, cur_end:1744006334.743274, duration(s):0.041381, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):244.863353
[Allreduce] id:0075, cur_start:1744006334.805574, cur_end:1744006334.846716, duration(s):0.041142, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):307.837224
[Allreduce] id:0076, cur_start:1744006334.920560, cur_end:1744006334.970396, duration(s):0.049836, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):203.320700
[Allreduce] id:0077, cur_start:1744006335.032686, cur_end:1744006335.068484, duration(s):0.035798, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):353.791806
[Allreduce] id:0078, cur_start:1744006335.133550, cur_end:1744006335.176374, duration(s):0.042824, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):236.612424
[Allreduce] id:0079, cur_start:1744006335.221271, cur_end:1744006335.493820, duration(s):0.272549, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):46.468852
[Allreduce] id:0080, cur_start:1744006335.494217, cur_end:1744006335.583457, duration(s):0.089240, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):113.544267
[Allreduce] id:0081, cur_start:1744006335.583670, cur_end:1744006335.641639, duration(s):0.057969, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):218.479516
[Allreduce] id:0082, cur_start:1744006335.641879, cur_end:1744006335.710039, duration(s):0.068160, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):148.660364
[Allreduce] id:0083, cur_start:1744006335.710390, cur_end:1744006335.774918, duration(s):0.064528, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):196.271991
[Allreduce] id:0084, cur_start:1744006335.775224, cur_end:1744006335.837022, duration(s):0.061798, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):163.964698
[Allreduce] id:0085, cur_start:1744006335.837317, cur_end:1744006335.901707, duration(s):0.064390, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):196.692640
[Allreduce] id:0086, cur_start:1744006335.923822, cur_end:1744006335.962781, duration(s):0.038959, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):260.085999
[Allreduce] id:0087, cur_start:1744006336.033538, cur_end:1744006336.080078, duration(s):0.046540, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):272.132339
[Allreduce] id:0088, cur_start:1744006336.121308, cur_end:1744006336.164498, duration(s):0.043190, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):234.607326
[Allreduce] id:0089, cur_start:1744006336.221287, cur_end:1744006336.260713, duration(s):0.039426, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):321.235709
[Allreduce] id:0090, cur_start:1744006336.309905, cur_end:1744006336.365302, duration(s):0.055397, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):182.910454
[Allreduce] id:0091, cur_start:1744006336.412667, cur_end:1744006336.456857, duration(s):0.044190, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):286.604188
[Allreduce] id:0092, cur_start:1744006336.555999, cur_end:1744006336.601985, duration(s):0.045986, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):220.342940
[Allreduce] id:0093, cur_start:1744006336.645267, cur_end:1744006336.693282, duration(s):0.048015, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):263.772552
[Allreduce] id:0094, cur_start:1744006336.770622, cur_end:1744006336.808395, duration(s):0.037773, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):268.252202
[Allreduce] id:0095, cur_start:1744006336.877146, cur_end:1744006336.917196, duration(s):0.040050, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):316.230688
[Allreduce] id:0096, cur_start:1744006336.980881, cur_end:1744006337.247276, duration(s):0.266395, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):38.036339
[Allreduce] id:0097, cur_start:1744006337.247527, cur_end:1744006337.308779, duration(s):0.061252, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):206.769396
[Allreduce] id:0098, cur_start:1744006337.309171, cur_end:1744006337.365096, duration(s):0.055925, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):181.183557
[Allreduce] id:0099, cur_start:1744006337.365335, cur_end:1744006337.425439, duration(s):0.060104, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):210.718739
[Allreduce] id:0100, cur_start:1744006337.425720, cur_end:1744006337.485912, duration(s):0.060192, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):168.339487
[Allreduce] id:0101, cur_start:1744006337.507127, cur_end:1744006337.553893, duration(s):0.046766, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):270.817240
[Allreduce] id:0102, cur_start:1744006337.611935, cur_end:1744006337.659658, duration(s):0.047723, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):212.322998
[Allreduce] id:0103, cur_start:1744006337.713039, cur_end:1744006337.755426, duration(s):0.042387, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):298.795363
[Allreduce] id:0104, cur_start:1744006337.798486, cur_end:1744006337.844756, duration(s):0.046270, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):218.990500
[Allreduce] id:0105, cur_start:1744006337.907721, cur_end:1744006337.942797, duration(s):0.035076, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):361.074212
[Allreduce] id:0106, cur_start:1744006338.003702, cur_end:1744006338.043914, duration(s):0.040212, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):251.981757
