[Allreduce] id:0001, cur_start:1743940689.246451, cur_end:1743940689.514133, duration(s):0.267682, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.001037
[Allreduce] id:0002, cur_start:1743940690.020288, cur_end:1743940691.611983, duration(s):1.591695, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):82.661905
[Allreduce] id:0003, cur_start:1743940707.352567, cur_end:1743940708.015897, duration(s):0.663330, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000001
[Allreduce] id:0004, cur_start:1743940719.801696, cur_end:1743940721.795422, duration(s):1.993726, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):65.993291
[Allreduce] id:0005, cur_start:1743940722.755556, cur_end:1743940722.814094, duration(s):0.058538, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000016
[Allreduce] id:0006, cur_start:1743940729.349493, cur_end:1743940730.475020, duration(s):1.125527, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):2.280209
[Allreduce] id:0007, cur_start:1743940730.475302, cur_end:1743940730.600019, duration(s):0.124717, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):81.210227
[Allreduce] id:0008, cur_start:1743940730.600308, cur_end:1743940730.716507, duration(s):0.116199, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):108.994389
[Allreduce] id:0009, cur_start:1743940730.716645, cur_end:1743940730.820822, duration(s):0.104177, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):97.264180
[Allreduce] id:0010, cur_start:1743940730.821132, cur_end:1743940730.922217, duration(s):0.101085, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):125.290983
[Allreduce] id:0011, cur_start:1743940730.922448, cur_end:1743940731.009938, duration(s):0.087490, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):115.815412
[Allreduce] id:0012, cur_start:1743940731.010166, cur_end:1743940731.109241, duration(s):0.099075, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):127.832844
[Allreduce] id:0013, cur_start:1743940731.109486, cur_end:1743940731.250809, duration(s):0.141323, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):71.698806
[Allreduce] id:0014, cur_start:1743940731.251109, cur_end:1743940731.315311, duration(s):0.064202, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):197.268606
[Allreduce] id:0015, cur_start:1743940731.315459, cur_end:1743940731.418986, duration(s):0.103527, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):97.874858
[Allreduce] id:0016, cur_start:1743940731.419231, cur_end:1743940731.517074, duration(s):0.097843, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):129.442465
[Allreduce] id:0017, cur_start:1743940731.517261, cur_end:1743940731.620805, duration(s):0.103544, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):97.858789
[Allreduce] id:0018, cur_start:1743940731.621015, cur_end:1743940731.724591, duration(s):0.103576, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):122.277739
[Allreduce] id:0019, cur_start:1743940731.724839, cur_end:1743940731.823262, duration(s):0.098423, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):102.950433
[Allreduce] id:0020, cur_start:1743940731.823506, cur_end:1743940731.930843, duration(s):0.107337, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):117.993228
[Allreduce] id:0021, cur_start:1743940731.930975, cur_end:1743940732.036124, duration(s):0.105149, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):96.365067
[Allreduce] id:0022, cur_start:1743940732.036401, cur_end:1743940732.153091, duration(s):0.116690, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):108.535771
[Allreduce] id:0023, cur_start:1743940732.153268, cur_end:1743940732.249552, duration(s):0.096284, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):105.237531
[Allreduce] id:0024, cur_start:1743940732.249704, cur_end:1743940732.356391, duration(s):0.106687, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):118.712112
[Allreduce] id:0025, cur_start:1743940732.356675, cur_end:1743940732.458969, duration(s):0.102294, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):99.054592
[Allreduce] id:0026, cur_start:1743940732.459227, cur_end:1743940732.566366, duration(s):0.107139, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):118.211287
[Allreduce] id:0027, cur_start:1743940732.566607, cur_end:1743940732.660309, duration(s):0.093702, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):108.137398
[Allreduce] id:0028, cur_start:1743940732.660547, cur_end:1743940732.761547, duration(s):0.101000, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):125.396426
[Allreduce] id:0029, cur_start:1743940732.761782, cur_end:1743940732.857334, duration(s):0.095552, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):106.043729
[Allreduce] id:0030, cur_start:1743940732.857525, cur_end:1743940732.951879, duration(s):0.094354, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):134.228958
[Allreduce] id:0031, cur_start:1743940732.952114, cur_end:1743940733.047007, duration(s):0.094893, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):106.780167
[Allreduce] id:0032, cur_start:1743940733.047313, cur_end:1743940733.144418, duration(s):0.097105, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):130.426230
[Allreduce] id:0033, cur_start:1743940733.144555, cur_end:1743940733.246484, duration(s):0.101929, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):99.409299
[Allreduce] id:0034, cur_start:1743940733.246740, cur_end:1743940733.369620, duration(s):0.122880, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):103.068352
[Allreduce] id:0035, cur_start:1743940733.369888, cur_end:1743940733.468784, duration(s):0.098896, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):102.458041
[Allreduce] id:0036, cur_start:1743940733.469001, cur_end:1743940733.570900, duration(s):0.101899, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):124.290121
[Allreduce] id:0037, cur_start:1743940733.571140, cur_end:1743940733.667119, duration(s):0.095979, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):105.571953
[Allreduce] id:0038, cur_start:1743940733.667320, cur_end:1743940733.766971, duration(s):0.099651, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):127.093949
[Allreduce] id:0039, cur_start:1743940733.767279, cur_end:1743940733.868511, duration(s):0.101232, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):100.093749
[Allreduce] id:0040, cur_start:1743940733.868754, cur_end:1743940733.986948, duration(s):0.118194, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):107.154670
[Allreduce] id:0041, cur_start:1743940733.987192, cur_end:1743940734.084141, duration(s):0.096949, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):104.515678
[Allreduce] id:0042, cur_start:1743940734.084380, cur_end:1743940734.197429, duration(s):0.113049, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):112.031412
[Allreduce] id:0043, cur_start:1743940734.197583, cur_end:1743940734.291417, duration(s):0.093834, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):107.985276
[Allreduce] id:0044, cur_start:1743940734.291657, cur_end:1743940734.401693, duration(s):0.110036, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):115.099050
[Allreduce] id:0045, cur_start:1743940734.401935, cur_end:1743940734.502288, duration(s):0.100353, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):100.970479
[Allreduce] id:0046, cur_start:1743940734.502532, cur_end:1743940734.610500, duration(s):0.107968, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):117.303637
[Allreduce] id:0047, cur_start:1743940734.610722, cur_end:1743940734.722312, duration(s):0.111590, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):90.802854
[Allreduce] id:0048, cur_start:1743940734.722546, cur_end:1743940734.823028, duration(s):0.100482, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):126.042864
[Allreduce] id:0049, cur_start:1743940734.823264, cur_end:1743940734.930237, duration(s):0.106973, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):94.721943
[Allreduce] id:0050, cur_start:1743940734.930590, cur_end:1743940735.036406, duration(s):0.105816, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):119.689263
[Allreduce] id:0051, cur_start:1743940735.036625, cur_end:1743940735.126608, duration(s):0.089983, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):112.606719
[Allreduce] id:0052, cur_start:1743940735.126848, cur_end:1743940735.233993, duration(s):0.107145, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):118.204667
[Allreduce] id:0053, cur_start:1743940735.234146, cur_end:1743940735.329836, duration(s):0.095690, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):105.890798
[Allreduce] id:0054, cur_start:1743940735.330209, cur_end:1743940735.432503, duration(s):0.102294, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):123.810185
[Allreduce] id:0055, cur_start:1743940735.432742, cur_end:1743940735.530439, duration(s):0.097697, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):103.715472
[Allreduce] id:0056, cur_start:1743940735.530724, cur_end:1743940735.643577, duration(s):0.112853, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):112.225985
[Allreduce] id:0057, cur_start:1743940735.643730, cur_end:1743940735.739891, duration(s):0.096161, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):105.372141
[Allreduce] id:0058, cur_start:1743940735.740177, cur_end:1743940735.841989, duration(s):0.101812, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):124.396329
[Allreduce] id:0059, cur_start:1743940735.842155, cur_end:1743940735.953169, duration(s):0.111014, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):91.273987
[Allreduce] id:0060, cur_start:1743940735.953320, cur_end:1743940736.060386, duration(s):0.107066, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):118.291886
[Allreduce] id:0061, cur_start:1743940736.060596, cur_end:1743940736.153020, duration(s):0.092424, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):109.632676
[Allreduce] id:0062, cur_start:1743940736.153288, cur_end:1743940736.248142, duration(s):0.094854, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):133.521402
[Allreduce] id:0063, cur_start:1743940736.248342, cur_end:1743940736.282691, duration(s):0.034349, ele_sz(B):4, cnt:2803968, total(MB):10.696289, avg_bw(MB/s):77.850076
[Allreduce] id:0064, cur_start:1743940737.256969, cur_end:1743940737.303931, duration(s):0.046962, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000020
[Allreduce] id:0065, cur_start:1743940742.292562, cur_end:1743940743.034087, duration(s):0.741525, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):3.461025
[Allreduce] id:0066, cur_start:1743940743.034282, cur_end:1743940743.161076, duration(s):0.126794, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):79.879930
[Allreduce] id:0067, cur_start:1743940743.161312, cur_end:1743940743.282621, duration(s):0.121309, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):104.403128
[Allreduce] id:0068, cur_start:1743940743.282794, cur_end:1743940743.388361, duration(s):0.105567, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):95.983503
[Allreduce] id:0069, cur_start:1743940743.388605, cur_end:1743940743.496921, duration(s):0.108316, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):116.926761
[Allreduce] id:0070, cur_start:1743940743.497132, cur_end:1743940743.610179, duration(s):0.113047, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):89.632546
[Allreduce] id:0071, cur_start:1743940743.610333, cur_end:1743940743.738682, duration(s):0.128349, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):98.676570
[Allreduce] id:0072, cur_start:1743940743.738864, cur_end:1743940743.837278, duration(s):0.098414, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):102.959847
[Allreduce] id:0073, cur_start:1743940743.837425, cur_end:1743940743.951599, duration(s):0.114174, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):110.927523
[Allreduce] id:0074, cur_start:1743940743.951793, cur_end:1743940744.046512, duration(s):0.094719, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):106.976324
[Allreduce] id:0075, cur_start:1743940744.046829, cur_end:1743940744.175075, duration(s):0.128246, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):98.755821
[Allreduce] id:0076, cur_start:1743940744.175262, cur_end:1743940744.272070, duration(s):0.096808, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):104.667904
[Allreduce] id:0077, cur_start:1743940744.272318, cur_end:1743940744.387627, duration(s):0.115309, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):109.835651
[Allreduce] id:0078, cur_start:1743940744.387829, cur_end:1743940744.493976, duration(s):0.106147, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):95.459037
[Allreduce] id:0079, cur_start:1743940744.494211, cur_end:1743940744.602895, duration(s):0.108684, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):116.530851
[Allreduce] id:0080, cur_start:1743940744.603036, cur_end:1743940744.696848, duration(s):0.093812, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):108.010600
[Allreduce] id:0081, cur_start:1743940744.697048, cur_end:1743940744.821377, duration(s):0.124329, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):101.867135
[Allreduce] id:0082, cur_start:1743940744.821593, cur_end:1743940744.937402, duration(s):0.115809, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):87.494844
[Allreduce] id:0083, cur_start:1743940744.937673, cur_end:1743940745.066127, duration(s):0.128454, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):98.595910
[Allreduce] id:0084, cur_start:1743940745.066278, cur_end:1743940745.174073, duration(s):0.107795, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):93.999633
[Allreduce] id:0085, cur_start:1743940745.174309, cur_end:1743940745.274342, duration(s):0.100033, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):126.608610
[Allreduce] id:0086, cur_start:1743940745.274457, cur_end:1743940745.371767, duration(s):0.097310, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):104.127946
[Allreduce] id:0087, cur_start:1743940745.372065, cur_end:1743940745.483777, duration(s):0.111712, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):113.372235
[Allreduce] id:0088, cur_start:1743940745.483888, cur_end:1743940745.576908, duration(s):0.093020, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):108.930235
[Allreduce] id:0089, cur_start:1743940745.577220, cur_end:1743940745.688212, duration(s):0.110992, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):114.107675
[Allreduce] id:0090, cur_start:1743940745.688401, cur_end:1743940745.788597, duration(s):0.100196, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):101.128692
[Allreduce] id:0091, cur_start:1743940745.788809, cur_end:1743940745.883585, duration(s):0.094776, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):133.631289
[Allreduce] id:0092, cur_start:1743940745.883748, cur_end:1743940745.986145, duration(s):0.102397, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):98.954954
[Allreduce] id:0093, cur_start:1743940745.986308, cur_end:1743940746.099099, duration(s):0.112791, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):112.287674
[Allreduce] id:0094, cur_start:1743940746.099227, cur_end:1743940746.204885, duration(s):0.105658, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):95.900835
[Allreduce] id:0095, cur_start:1743940746.205023, cur_end:1743940746.302463, duration(s):0.097440, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):129.977823
[Allreduce] id:0096, cur_start:1743940746.302618, cur_end:1743940746.394537, duration(s):0.091919, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):110.234994
[Allreduce] id:0097, cur_start:1743940746.394692, cur_end:1743940746.503027, duration(s):0.108335, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):116.906254
[Allreduce] id:0098, cur_start:1743940746.503277, cur_end:1743940746.595029, duration(s):0.091752, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):110.435636
[Allreduce] id:0099, cur_start:1743940746.595285, cur_end:1743940746.697262, duration(s):0.101977, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):124.195054
[Allreduce] id:0100, cur_start:1743940746.697486, cur_end:1743940746.807248, duration(s):0.109762, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):92.315104
[Allreduce] id:0101, cur_start:1743940746.807462, cur_end:1743940746.902202, duration(s):0.094740, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):133.682067
[Allreduce] id:0102, cur_start:1743940746.902448, cur_end:1743940747.007833, duration(s):0.105385, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):96.149266
[Allreduce] id:0103, cur_start:1743940747.007965, cur_end:1743940747.109300, duration(s):0.101335, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):124.981882
[Allreduce] id:0104, cur_start:1743940747.109482, cur_end:1743940747.199067, duration(s):0.089585, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):113.106998
[Allreduce] id:0105, cur_start:1743940747.199297, cur_end:1743940747.314112, duration(s):0.114815, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):110.308227
[Allreduce] id:0106, cur_start:1743940747.314250, cur_end:1743940747.408729, duration(s):0.094479, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):107.248070
[Allreduce] id:0107, cur_start:1743940747.409156, cur_end:1743940747.521503, duration(s):0.112347, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):112.731440
[Allreduce] id:0108, cur_start:1743940747.521785, cur_end:1743940747.625262, duration(s):0.103477, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):97.922151
