[Allreduce] id:0001, cur_start:1744031995.686838, cur_end:1744031996.171612, duration(s):0.484774, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.001145
[Allreduce] id:0002, cur_start:1744031996.172505, cur_end:1744032007.274094, duration(s):11.101589, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):23.703371
[Allreduce] id:0003, cur_start:1744032013.967447, cur_end:1744032014.402558, duration(s):0.435111, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000004
[Allreduce] id:0004, cur_start:1744032046.045585, cur_end:1744032058.475706, duration(s):12.430121, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):21.169953
[Allreduce] id:0005, cur_start:1744032058.781838, cur_end:1744032058.790539, duration(s):0.008701, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000219
[Allreduce] id:0006, cur_start:1744032075.339352, cur_end:1744032075.427337, duration(s):0.087985, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):58.338052
[Allreduce] id:0007, cur_start:1744032075.601530, cur_end:1744032075.887367, duration(s):0.285837, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):70.867634
[Allreduce] id:0008, cur_start:1744032075.887641, cur_end:1744032076.211726, duration(s):0.324085, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):78.158749
[Allreduce] id:0009, cur_start:1744032076.211967, cur_end:1744032076.500470, duration(s):0.288503, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):70.243224
[Allreduce] id:0010, cur_start:1744032076.500689, cur_end:1744032076.796009, duration(s):0.295320, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):85.771631
[Allreduce] id:0011, cur_start:1744032076.796220, cur_end:1744032077.107368, duration(s):0.311148, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):65.131002
[Allreduce] id:0012, cur_start:1744032077.107590, cur_end:1744032077.475690, duration(s):0.368100, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):68.813035
[Allreduce] id:0013, cur_start:1744032077.475978, cur_end:1744032077.823900, duration(s):0.347922, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):58.246908
