[Allreduce] id:0001, cur_start:1743602133.603334, cur_end:1743602158.195442, duration(s):24.592108, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.000011
[Allreduce] id:0002, cur_start:1743602158.197363, cur_end:1743602164.041488, duration(s):5.844125, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):22.513642
[Allreduce] id:0003, cur_start:1743602178.902589, cur_end:1743602179.095434, duration(s):0.192845, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000005
[Allreduce] id:0004, cur_start:1743602196.601404, cur_end:1743602225.887512, duration(s):29.286108, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):4.492660
[Allreduce] id:0005, cur_start:1743602226.387244, cur_end:1743602226.387300, duration(s):0.000056, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.017030
[Allreduce] id:0006, cur_start:1743602235.342408, cur_end:1743602241.748725, duration(s):6.406317, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):0.400610
[Allreduce] id:0007, cur_start:1743602241.748961, cur_end:1743602242.347941, duration(s):0.598980, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):16.909239
[Allreduce] id:0008, cur_start:1743602242.348155, cur_end:1743602242.749319, duration(s):0.401164, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):31.570727
[Allreduce] id:0009, cur_start:1743602242.749536, cur_end:1743602243.107588, duration(s):0.358052, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):28.299494
[Allreduce] id:0010, cur_start:1743602243.107792, cur_end:1743602243.481398, duration(s):0.373606, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):33.899453
[Allreduce] id:0011, cur_start:1743602243.481620, cur_end:1743602243.912848, duration(s):0.431228, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):23.497292
[Allreduce] id:0012, cur_start:1743602243.913127, cur_end:1743602244.346018, duration(s):0.432891, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):29.256878
[Allreduce] id:0013, cur_start:1743602244.346269, cur_end:1743602244.706940, duration(s):0.360671, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):28.093998
[Allreduce] id:0014, cur_start:1743602244.707150, cur_end:1743602245.113747, duration(s):0.406597, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):31.148875
[Allreduce] id:0015, cur_start:1743602245.113993, cur_end:1743602245.526608, duration(s):0.412615, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):24.557252
[Allreduce] id:0016, cur_start:1743602245.526826, cur_end:1743602246.000672, duration(s):0.473846, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):26.728176
[Allreduce] id:0017, cur_start:1743602246.000925, cur_end:1743602246.324358, duration(s):0.323433, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):31.328561
[Allreduce] id:0018, cur_start:1743602246.324587, cur_end:1743602246.839860, duration(s):0.515273, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):24.579279
[Allreduce] id:0019, cur_start:1743602246.839991, cur_end:1743602247.260387, duration(s):0.420396, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):24.102728
[Allreduce] id:0020, cur_start:1743602247.260615, cur_end:1743602247.673906, duration(s):0.413291, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):30.644362
[Allreduce] id:0021, cur_start:1743602247.674121, cur_end:1743602248.006762, duration(s):0.332641, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):30.461339
[Allreduce] id:0022, cur_start:1743602248.006924, cur_end:1743602248.466438, duration(s):0.459514, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):27.561813
[Allreduce] id:0023, cur_start:1743602248.466665, cur_end:1743602248.861832, duration(s):0.395167, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):25.641540
